Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,67.37,57.13,55.08,64.81,26.17
Total Revenue,67.37,57.13,55.08,64.81,26.17
"Selling/General/Admin. Expenses, Total",7.75,11.17,11.20,17.33,12.97
Depreciation/Amortisation,1.37,1.57,2.35,4.45,5.99
Unusual Expense (Income),10.36,-27.98,0.00,3.30,59.18
"Other Operating Expenses, Total",11.06,11.16,15.92,20.10,12.81
Total Operating Expense,62.53,25.45,46.40,53.30,91.83
Operating Income,4.84,31.68,8.68,11.50,-65.66
"Interest Inc.(Exp.),Net-Non-Op., Total",12.22,45.31,10.54,3.06,39.49
"Other, Net",0.00,0,0,0,0
Net Income Before Taxes,17.07,77.00,19.21,14.56,-26.18
Provision for Income Taxes,4.84,1.56,3.01,2.92,1.47
Net Income After Taxes,12.23,75.44,16.21,11.64,-27.65
Net Income Before Extra. Items,12.48,74.80,17.63,13.18,-6.45
Net Income,12.48,74.80,17.63,13.18,-6.45
Income Available to Com Excl ExtraOrd,12.48,74.80,17.63,13.18,-6.45
Income Available to Com Incl ExtraOrd,12.48,74.80,17.63,13.18,-6.45
Diluted Net Income,12.48,74.80,17.63,13.18,-6.45
Diluted Weighted Average Shares,487.73,487.73,487.73,487.73,487.74
Diluted EPS Excluding ExtraOrd Items,0.03,0.15,0.04,0.03,-0.01
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0
Diluted Normalised EPS,0.04,0.10,0.04,0.03,0.07
