Fiscal Year,2015,2016,2017,2019,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,450.13,0.66,0.11,104.61,97.22
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,450.13,0.66,0.11,104.61,97.22
"Accounts Receivable - Trade, Net",15.40,4.12,6.51,114.08,57.10
"Total Receivables, Net",15.40,4.12,6.51,114.08,57.10
Prepaid Expenses,20.46,4.56,4.56,0.09,0.10
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,486.81,9.90,11.75,218.78,154.43
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",26.06,27.69,24.52,0.25,0.22
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",2.37,2.31,2.24,0.00,0
Long Term Investments,0,0,0,0.00,0.00
Total Assets,515.23,39.90,38.51,366.97,427.34
Accounts Payable,8.43,7.34,0.86,0,0
Accrued Expenses,0,0,8.23,0,0
Notes Payable/Short Term Debt,12.90,12.90,12.90,0.00,0.00
"Other Current liabilities, Total",470.65,0.00,0,0,0
Total Current Liabilities,491.98,20.24,21.99,175.73,195.28
Total Long Term Debt,0.00,0.00,0.00,0.00,0.00
Total Debt,12.90,12.90,12.90,0.00,0.00
Deferred Income Tax,0,0,0,10.52,22.63
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,491.98,20.24,21.99,202.27,237.23
"Common Stock, Total",135.77,135.77,135.77,192.19,192.19
Retained Earnings (Accumulated Deficit),-109.52,-113.10,-119.25,-27.46,-2.05
Treasury Stock - Common,-0.04,-0.04,0,-0.02,-0.02
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-2.98,-2.98,0,0,0
Total Equity,23.25,19.66,16.52,164.71,190.12
Total Liabilities & Shareholders' Equity,515.23,39.90,38.51,366.97,427.34
Total Common Shares Outstanding,17.95,17.95,17.95,67.95,67.95
"Tangible Book Value per Share, Common Eq",1.16,0.97,0.80,2.42,2.80
