Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.32,2.71,3.27,-0.76,-4.51
Depreciation/Depletion,0.26,0.21,0.29,0.66,0.62
Non-Cash Items,0.12,0.53,1.17,-0.00,1.38
Cash Taxes Paid,0.06,0.09,0.54,0.53,-0.05
Changes in Working Capital,-1.32,-1.42,-10.97,1.38,1.30
Cash from Operating Activities,0.49,2.07,-6.17,1.48,-0.09
Capital Expenditures,-0.31,-0.15,-1.56,-3.03,-5.52
"Other Investing Cash Flow Items, Total",0.00,0.00,-3.47,-2.22,0.00
Cash from Investing Activities,-0.31,-0.15,-5.04,-5.25,-5.52
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0.00,14.95,0,0
Cash from Financing Activities,-0.09,-0.17,13.22,1.49,4.87
Foreign Exchange Effects,0,0.00,0.01,0.03,-0.01
Net Change in Cash,0.10,1.75,2.03,-2.26,-0.76
