Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,2.95,1.83,1.37,1.25,0.83
Short Term Investments,0,1.02,1.03,2.05,2.06
Cash and Short Term Investments,2.95,2.85,2.40,3.29,2.89
"Accounts Receivable - Trade, Net",66.51,25.07,28.87,26.19,30.86
"Total Receivables, Net",66.51,25.58,29.52,26.83,31.50
Prepaid Expenses,0,0.07,0.03,0.03,0.09
"Other Current Assets, Total",0,0,0,0,0.48
Total Current Assets,74.35,28.51,31.94,30.16,34.97
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",2.27,39.36,32.84,33.14,30.73
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0.00,0,0,0,0
Total Assets,76.62,67.86,64.78,63.30,65.70
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,9.59,4.11,3.82,0.00
"Other Current liabilities, Total",0.55,0.36,0.03,3.24,4.04
Total Current Liabilities,29.34,15.83,13.21,11.45,10.77
Total Long Term Debt,0.08,0.26,0.13,0.21,2.62
Total Debt,10.78,9.98,4.37,4.42,5.13
Deferred Income Tax,0.01,0.26,0.32,0.40,0.68
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,29.43,16.34,13.65,12.05,14.07
"Common Stock, Total",32.29,32.29,32.29,32.29,32.29
Retained Earnings (Accumulated Deficit),14.90,19.24,18.84,18.95,19.34
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.00,-0.01,-0.00,0.01,0.01
Total Equity,47.19,51.52,51.13,51.24,51.63
Total Liabilities & Shareholders' Equity,76.62,67.86,64.78,63.30,65.70
Total Common Shares Outstanding,99.20,99.20,99.20,99.20,99.20
"Tangible Book Value per Share, Common Eq",0.48,0.52,0.52,0.52,0.52
