Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.67,8.91,1.94,2.31,2.02
Depreciation/Depletion,2.05,2.25,2.76,6.38,6.98
Non-Cash Items,13.65,3.63,3.71,2.72,1.75
Cash Taxes Paid,0.61,0.87,2.31,2.74,1.90
Changes in Working Capital,0.63,-11.79,-10.84,4.91,-4.12
Cash from Operating Activities,17.00,3.39,-1.77,16.98,7.30
Capital Expenditures,-25.22,-8.47,-2.29,-10.46,-5.60
"Other Investing Cash Flow Items, Total",3.09,-0.94,0.64,0.07,0.61
Cash from Investing Activities,-22.12,-9.41,-1.64,-10.40,-4.99
Total Cash Dividends Paid,-0.30,-1.95,-0.15,-1.11,0.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,5.58,4.84,9.11,-9.05,-7.10
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.45,-1.18,5.70,-2.47,-4.79
