Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,89.81,145.23,243.46,245.81,208.93
Total Revenue,89.81,145.23,243.46,245.81,208.93
"Selling/General/Admin. Expenses, Total",9.36,12.78,19.22,21.70,19.55
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),12.28,0.70,-0.01,-0.11,-0.24
"Other Operating Expenses, Total",-20.54,-6.17,-0.35,-0.23,-1.32
Total Operating Expense,88.42,132.92,237.68,240.62,204.86
Operating Income,1.40,12.31,5.78,5.19,4.07
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.72,-0.81,-1.89,-2.88,-2.05
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.67,11.49,3.89,2.31,2.02
Provision for Income Taxes,0.62,2.18,1.95,1.11,1.26
Net Income After Taxes,0.06,9.32,1.94,1.20,0.77
Net Income Before Extra. Items,0.06,9.35,1.39,1.25,0.56
Net Income,0.05,8.94,1.39,1.25,0.56
Income Available to Com Excl ExtraOrd,0.06,9.35,1.39,1.25,0.56
Income Available to Com Incl ExtraOrd,0.05,8.94,1.39,1.25,0.56
Diluted Net Income,0.05,8.94,1.39,1.25,0.56
Diluted Weighted Average Shares,118.50,102.00,108.83,118.89,119.52
Diluted EPS Excluding ExtraOrd Items,0.00,0.09,0.01,0.01,0.00
DPS - Common Stock Primary Issue,0,0,0,0.00,0
Diluted Normalised EPS,0.07,0.10,0.03,0.01,0.00
