Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020
Source,ARS,ARS,ARS,PRESS,ARS
Cash,1.67,0,0,0,0
Short Term Investments,16.96,0,0,0,0
Cash and Short Term Investments,18.63,9.31,6.25,2.83,1.83
"Accounts Receivable - Trade, Net",23.98,71.34,59.35,16.02,15.07
"Total Receivables, Net",53.97,71.34,59.35,16.02,15.07
Prepaid Expenses,7.69,0,0,0,0
"Other Current Assets, Total",5.36,0.00,0,0,0
Total Current Assets,142.70,120.00,80.84,28.47,22.53
"Property/Plant/Equipment, Total - Gross",635.83,0,0,0,0
"Accumulated Depreciation, Total",-22.27,0,0,0,0
"Property/Plant/Equipment, Total - Net",613.56,563.92,223.21,211.56,201.76
"Goodwill, Net",34.86,0,0,0,0
"Intangibles, Net",9.45,33.81,9.34,9.28,9.22
Long Term Investments,9.83,8.91,8.29,7.03,5.69
Total Assets,813.53,728.06,322.14,256.34,239.21
Accounts Payable,46.79,0,0,0,0
Accrued Expenses,111.60,0,0,0,0
Notes Payable/Short Term Debt,132.20,179.02,172.40,134.76,0.00
"Other Current liabilities, Total",29.00,3.99,7.53,0.87,1.94
Total Current Liabilities,495.91,507.29,508.36,452.45,462.09
Total Long Term Debt,146.94,153.06,156.27,162.90,189.87
Total Debt,455.46,475.05,472.33,440.65,471.32
Deferred Income Tax,41.37,37.94,4.56,4.71,4.81
"Other Liabilities, Total",0.75,0.66,0.66,0.66,0.66
Total Liabilities,783.94,752.27,554.09,484.94,513.76
"Common Stock, Total",171.93,175.62,175.62,175.62,175.62
Retained Earnings (Accumulated Deficit),-246.60,-199.83,-407.57,-404.22,-450.18
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),132.55,0,0,0,0
"Other Equity, Total",-28.29,0,0,0,0
Total Equity,29.59,-24.21,-231.95,-228.60,-274.56
Total Liabilities & Shareholders' Equity,813.53,728.06,322.14,256.34,239.21
Total Common Shares Outstanding,1025.31,1048.39,1048.39,1048.39,1048.39
"Tangible Book Value per Share, Common Eq",-0.01,-0.06,-0.23,-0.23,-0.27
