Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.73,-2.28,-2.97,-0.96,-6.61
Depreciation/Depletion,0.20,0.30,0.29,0.36,0.16
Non-Cash Items,-1.16,1.15,1.79,-0.89,5.89
Cash Taxes Paid,-0.00,0,0,-0.00,0.04
Changes in Working Capital,-0.62,1.02,0.98,-0.27,-1.33
Cash from Operating Activities,0.16,0.19,0.10,-1.76,-1.89
Capital Expenditures,-0.02,-0.00,-0.01,-0.01,-0.01
"Other Investing Cash Flow Items, Total",0,0,0,0.00,0.00
Cash from Investing Activities,-0.02,-0.00,-0.01,-0.01,-0.01
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,1.66,0.00
Cash from Financing Activities,-0.04,-0.03,-0.03,1.56,1.91
Foreign Exchange Effects,0.00,-0.00,-0.00,-0.00,0.00
Net Change in Cash,0.10,0.16,0.05,-0.21,0.01
