Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,11.14,6.63,10.54,12.90,22.36
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,11.14,6.63,10.54,12.90,22.36
"Accounts Receivable - Trade, Net",130.43,141.78,54.82,25.31,8.93
"Total Receivables, Net",130.49,141.78,54.82,25.31,8.93
Prepaid Expenses,57.07,0.02,0.13,0.09,1.93
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,221.56,169.41,93.31,62.13,53.97
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",340.14,93.49,71.18,63.98,49.28
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",2.70,0.00,0.03,0.07,0.08
Long Term Investments,75.32,152.81,216.78,180.70,230.92
Total Assets,1011.37,441.19,404.22,365.42,364.32
Accounts Payable,14.61,204.45,70.56,34.84,18.35
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,1.51,0.38,4.38,3.37,2.39
"Other Current liabilities, Total",3.64,0.08,0.02,0.00,0
Total Current Liabilities,19.76,204.91,74.96,38.21,20.74
Total Long Term Debt,1.94,4.84,4.51,5.08,4.67
Total Debt,3.46,5.22,8.89,8.45,7.07
Deferred Income Tax,3.71,3.71,32.13,32.81,39.21
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,25.42,213.47,111.59,76.09,64.63
"Common Stock, Total",301.35,322.21,322.21,322.21,322.21
Retained Earnings (Accumulated Deficit),684.61,-94.49,-65.35,-100.36,-93.60
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,35.78,38.13,41.74
"Other Equity, Total",0,0,0,29.35,29.35
Total Equity,985.96,227.72,292.63,289.33,299.70
Total Liabilities & Shareholders' Equity,1011.37,441.19,404.22,365.42,364.32
Total Common Shares Outstanding,162.20,176.80,176.80,176.80,176.80
"Tangible Book Value per Share, Common Eq",6.06,1.29,1.65,1.64,1.69
