Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,45.73,-778.05,47.73,-35.02,13.48
Depreciation/Depletion,67.93,11.31,1.36,4.39,3.49
Non-Cash Items,31.64,622.65,-61.86,10.43,-8.27
Cash Taxes Paid,8.97,3.14,0.16,0.11,0.15
Changes in Working Capital,-73.90,115.35,13.89,25.79,2.35
Cash from Operating Activities,71.70,-28.15,1.13,5.60,11.08
Capital Expenditures,-78.63,-8.35,-0.70,-2.70,-9.94
"Other Investing Cash Flow Items, Total",-45.21,10.81,0,0,9.85
Cash from Investing Activities,-123.84,2.46,-0.70,-2.70,-0.09
Total Cash Dividends Paid,-4.85,-1.40,0,0,0
"Issuance (Retirement) of Stock, Net",80.72,20.86,0,0,0
Cash from Financing Activities,36.07,21.05,3.51,-1.07,-1.77
Foreign Exchange Effects,-0.22,0.13,-0.02,0.54,0.24
Net Change in Cash,-16.30,-4.52,3.91,2.36,9.46
