Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,70.20,67.33,56.45,54.54,49.28
Total Revenue,70.20,67.33,56.45,54.54,49.28
"Selling/General/Admin. Expenses, Total",12.93,13.72,15.22,15.49,15.89
Depreciation/Amortisation,1.63,1.83,2.28,3.02,3.65
Unusual Expense (Income),-0.26,0.02,-0.07,0.01,0.31
"Other Operating Expenses, Total",3.97,2.84,2.89,2.99,-1.42
Total Operating Expense,65.72,62.21,52.80,51.11,45.98
Operating Income,4.48,5.12,3.66,3.42,3.30
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.51,-0.29,-0.43,-0.53,-0.45
"Other, Net",0,0,0,-0.05,-0.07
Net Income Before Taxes,3.97,4.83,3.22,2.84,2.79
Provision for Income Taxes,0.50,0.58,0.46,0.55,0.28
Net Income After Taxes,3.47,4.24,2.76,2.29,2.51
Net Income Before Extra. Items,3.58,4.25,2.26,2.27,2.07
Net Income,3.58,4.25,2.26,2.27,2.07
Income Available to Com Excl ExtraOrd,3.58,4.25,2.26,2.27,2.07
Income Available to Com Incl ExtraOrd,3.58,4.25,2.26,2.27,2.07
Diluted Net Income,3.58,4.25,2.26,2.27,2.07
Diluted Weighted Average Shares,235.00,235.00,235.00,235.00,235.00
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.01,0.01,0.01
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.01,0.00
Diluted Normalised EPS,0.02,0.02,0.01,0.01,0.01
