Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,214.89,153.23,157.12,107.87,90.12
Total Revenue,214.89,153.23,157.12,107.87,90.12
"Selling/General/Admin. Expenses, Total",27.71,27.51,25.99,27.03,22.62
Depreciation/Amortisation,0.40,0.25,0.29,0.52,0
Unusual Expense (Income),0,0,0,0,0.00
"Other Operating Expenses, Total",0.58,0.42,0.75,-3.04,0.51
Total Operating Expense,198.62,132.39,132.70,90.40,85.29
Operating Income,16.27,20.84,24.42,17.47,4.83
"Interest Inc.(Exp.),Net-Non-Op., Total",-12.06,-11.94,2.32,6.90,14.75
"Other, Net",0,33.86,0,0,0
Net Income Before Taxes,4.21,42.76,26.74,24.36,19.58
Provision for Income Taxes,0.77,3.05,6.50,4.36,3.37
Net Income After Taxes,3.44,39.71,20.24,20.01,16.21
Net Income Before Extra. Items,0.42,37.75,9.30,9.08,6.53
Net Income,0.42,37.75,9.30,9.08,6.53
Income Available to Com Excl ExtraOrd,0.42,37.75,9.30,9.08,6.53
Income Available to Com Incl ExtraOrd,0.42,37.75,9.30,9.08,6.53
Diluted Net Income,0.42,37.75,9.30,9.08,6.53
Diluted Weighted Average Shares,130.86,130.86,130.86,130.86,130.86
Diluted EPS Excluding ExtraOrd Items,0.00,0.29,0.07,0.07,0.05
DPS - Common Stock Primary Issue,0.02,0.04,0.02,0.04,0.03
Diluted Normalised EPS,0.00,0.29,0.07,0.07,0.05
