Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-17.46,43.81,69.75,71.87,91.64
Depreciation/Depletion,114.66,111.81,160.79,167.78,167.79
Non-Cash Items,7.82,9.15,19.35,35.62,20.01
Cash Taxes Paid,0.01,11.51,6.06,0.57,7.09
Changes in Working Capital,-12.42,-6.32,-20.25,-12.75,-14.94
Cash from Operating Activities,92.60,158.46,229.64,262.52,264.51
Capital Expenditures,-482.26,-212.18,-71.10,-75.54,-60.25
"Other Investing Cash Flow Items, Total",0.00,-1095.04,0.01,0.00,0.00
Cash from Investing Activities,-482.26,-1307.23,-71.09,-75.53,-60.25
Total Cash Dividends Paid,0,0,-221.35,-193.29,-197.19
"Issuance (Retirement) of Stock, Net",0,2334.72,0.00,0,0
Cash from Financing Activities,297.47,1315.22,-176.38,-166.98,-202.35
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-92.20,166.45,-17.83,20.00,1.91
