Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,164.88,194.12,167.53,144.39,131.12
Total Revenue,164.88,194.12,167.53,144.39,131.12
"Selling/General/Admin. Expenses, Total",35.27,31.89,29.85,27.67,25.12
Depreciation/Amortisation,0,0.07,0.06,0.09,0.09
Unusual Expense (Income),0,0.16,0.00,-0.02,-0.01
"Other Operating Expenses, Total",1.50,1.21,1.60,-0.16,-2.19
Total Operating Expense,159.41,182.18,156.11,139.12,125.31
Operating Income,5.47,11.94,11.42,5.27,5.81
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.22,-0.07,0.10,-0.16,-0.57
"Other, Net",0,0,0,0,0
Net Income Before Taxes,5.25,11.86,11.53,5.11,5.23
Provision for Income Taxes,1.36,4.10,3.77,1.17,1.47
Net Income After Taxes,3.89,7.76,7.75,3.95,3.76
Net Income Before Extra. Items,3.89,7.76,7.75,3.95,3.76
Net Income,70.14,7.76,7.75,3.95,3.76
Income Available to Com Excl ExtraOrd,3.89,7.76,7.75,3.95,3.76
Income Available to Com Incl ExtraOrd,70.14,7.76,7.75,3.95,3.76
Diluted Net Income,70.14,7.76,7.75,3.95,3.76
Diluted Weighted Average Shares,361.90,361.90,361.90,361.90,361.90
Diluted EPS Excluding ExtraOrd Items,0.01,0.02,0.02,0.01,0.01
DPS - Common Stock Primary Issue,0.02,0.03,0.03,0.01,0.01
Diluted Normalised EPS,0.01,0.02,0.02,0.01,0.01
