Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.79,6.09,-9.37,-8.28,-4.07
Depreciation/Depletion,0.66,1.64,0.86,0.87,1.09
Non-Cash Items,-3.82,-12.72,8.22,6.64,5.17
Cash Taxes Paid,0.15,0.77,0.11,0.01,0.01
Changes in Working Capital,0.09,-3.64,-1.37,0.36,5.79
Cash from Operating Activities,-1.19,-8.05,-1.40,-0.42,7.98
Capital Expenditures,-0.48,-0.28,-0.14,-1.26,-0.15
"Other Investing Cash Flow Items, Total",-4.67,15.13,-8.53,-3.35,-15.09
Cash from Investing Activities,-5.15,14.86,-8.67,-4.61,-15.24
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0.00,6.55,0.00,0
Cash from Financing Activities,-0.21,2.06,5.61,-0.48,10.39
Foreign Exchange Effects,0.09,-1.32,0.39,-0.17,-0.78
Net Change in Cash,-6.46,7.55,-4.07,-5.68,2.34
