Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,17.71,33.74,41.98,34.70,38.04
Short Term Investments,93.66,62.67,10.83,15.30,15.61
Cash and Short Term Investments,111.37,96.41,52.81,50.00,53.65
"Accounts Receivable - Trade, Net",8.44,6.76,7.79,6.70,10.63
"Total Receivables, Net",37.25,35.46,38.13,36.72,40.15
Prepaid Expenses,0.02,0.12,0.21,0.16,0.15
"Other Current Assets, Total",0.42,42.23,89.65,69.58,98.05
Total Current Assets,149.05,174.23,180.79,156.46,192.00
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0,0
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1333.30,1337.01,1335.03,1567.59,1623.65
Total Assets,1482.34,1511.24,1515.82,1724.04,1815.65
Accounts Payable,6.84,3.74,5.00,8.52,4.82
Accrued Expenses,5.23,6.04,3.30,11.59,7.45
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",26.54,25.98,24.31,30.07,50.93
Total Current Liabilities,40.76,75.90,507.31,118.07,154.25
Total Long Term Debt,396.68,395.36,0.00,586.63,592.78
Total Debt,398.83,435.50,474.71,654.51,683.83
Deferred Income Tax,258.41,263.06,262.44,271.02,285.08
"Other Liabilities, Total",60.38,59.30,57.52,64.40,68.03
Total Liabilities,756.22,793.62,827.27,1040.12,1100.14
"Common Stock, Total",782.70,788.38,688.55,683.93,715.51
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-56.58,-70.76,0,0,0
Total Equity,726.12,717.62,688.55,683.93,715.51
Total Liabilities & Shareholders' Equity,1482.34,1511.24,1515.82,1724.04,1815.65
Total Common Shares Outstanding,778.52,784.66,792.01,801.21,805.84
"Tangible Book Value per Share, Common Eq",0.93,0.91,0.87,0.85,0.89
