Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,95.53,91.37,96.23,99.13,109.73
Total Revenue,95.53,91.37,96.23,99.13,109.73
"Selling/General/Admin. Expenses, Total",0.82,1.04,0.95,1.68,1.36
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),2.19,0.43,0.00,0,0
"Other Operating Expenses, Total",0,0,7.53,3.73,3.80
Total Operating Expense,20.99,39.84,39.31,47.00,52.28
Operating Income,74.55,51.53,56.92,52.13,57.44
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.70,19.86,13.28,46.04,-19.81
"Other, Net",0,0,0,0,0
Net Income Before Taxes,72.85,71.38,70.20,98.17,37.63
Provision for Income Taxes,17.03,23.77,23.26,32.95,22.21
Net Income After Taxes,55.82,47.62,46.94,65.22,15.42
Net Income Before Extra. Items,55.82,47.62,46.94,65.22,15.42
Net Income,55.82,47.62,46.94,65.22,15.42
Income Available to Com Excl ExtraOrd,55.82,47.62,46.94,65.22,15.42
Income Available to Com Incl ExtraOrd,55.82,47.62,46.94,65.22,15.42
Diluted Net Income,55.82,47.62,46.94,65.22,15.42
Diluted Weighted Average Shares,777.81,781.20,787.74,795.15,803.26
Diluted EPS Excluding ExtraOrd Items,0.07,0.06,0.06,0.08,0.02
DPS - Common Stock Primary Issue,0.01,0.06,0.06,0.06,0.05
Diluted Normalised EPS,0.07,0.06,0.06,0.08,0.02
