Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,89.86,34.72,23.06,54.36,32.79
Total Revenue,89.86,34.72,23.06,54.36,32.79
"Selling/General/Admin. Expenses, Total",3.89,3.17,3.34,2.20,3.04
Depreciation/Amortisation,0.86,0.44,0.36,1.06,0.65
Unusual Expense (Income),0.03,-0.00,-0.01,0.08,-0.88
"Other Operating Expenses, Total",-0.49,-0.43,0.95,-0.46,0.36
Total Operating Expense,88.43,35.35,26.10,54.14,32.74
Operating Income,1.43,-0.63,-3.04,0.22,0.05
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.18,0.08,0.33,0.14,-0.19
"Other, Net",-0.25,-0.08,-0.08,-0.10,-0.12
Net Income Before Taxes,1.00,-0.62,-2.78,0.26,-0.27
Provision for Income Taxes,-0.06,0.00,0.05,0.00,0.06
Net Income After Taxes,1.06,-0.62,-2.83,0.26,-0.33
Net Income Before Extra. Items,1.06,-0.61,-2.49,0.21,-0.33
Net Income,1.06,1.00,0.23,0.21,-0.33
Income Available to Com Excl ExtraOrd,1.06,-0.61,-2.49,0.21,-0.33
Income Available to Com Incl ExtraOrd,1.06,1.00,0.23,0.21,-0.33
Diluted Net Income,1.06,1.00,0.23,0.21,-0.33
Diluted Weighted Average Shares,17053.17,17053.17,17053.17,17053.17,17053.17
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,-0.00,0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.00,-0.00,0.00,-0.00
