Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,2.85,5.09,8.45,3.88,4.49
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,6.74,5.09,8.45,3.88,4.49
"Accounts Receivable - Trade, Net",4.25,11.45,2.53,7.32,7.05
"Total Receivables, Net",8.31,11.45,2.53,7.32,7.05
Prepaid Expenses,0.07,0.12,0.06,0.09,0.09
"Other Current Assets, Total",0.11,0,2.83,2.83,2.18
Total Current Assets,17.76,18.42,14.61,14.97,16.65
"Property/Plant/Equipment, Total - Gross",7.65,0,0,0,0
"Accumulated Depreciation, Total",-2.14,0,0,0,0
"Property/Plant/Equipment, Total - Net",5.51,5.35,4.19,5.05,4.59
"Goodwill, Net",0.00,0,0,0,0
"Intangibles, Net",0.40,0.23,0.00,0,0
Long Term Investments,2.89,3.04,47.37,1.32,0.00
Total Assets,26.91,28.16,66.17,21.34,21.23
Accounts Payable,2.15,8.43,0.73,1.72,2.06
Accrued Expenses,0.42,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.24,0.23,0.00,0.00
"Other Current liabilities, Total",4.68,0.54,0.39,0.36,1.70
Total Current Liabilities,7.52,9.21,1.35,2.70,4.33
Total Long Term Debt,5.37,4.54,4.30,4.31,2.85
Total Debt,5.64,4.78,4.53,4.93,3.41
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,13.39,14.40,5.96,7.04,7.26
"Common Stock, Total",402.75,402.75,402.75,402.75,402.75
Retained Earnings (Accumulated Deficit),-390.17,-389.32,-388.15,-387.97,-388.30
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,46.18,0.00,0
"Other Equity, Total",0.94,0.33,-0.57,-0.47,-0.47
Total Equity,13.52,13.76,60.21,14.30,13.98
Total Liabilities & Shareholders' Equity,26.91,28.16,66.17,21.34,21.23
Total Common Shares Outstanding,17053.17,17053.17,17053.17,17053.17,17053.17
"Tangible Book Value per Share, Common Eq",0.00,0.00,0.00,0.00,0.00
