Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,166.67,0.00,0,0,0
Cash and Short Term Investments,258.89,294.84,282.73,295.75,264.16
"Accounts Receivable - Trade, Net",64.51,75.27,57.29,62.57,52.77
"Total Receivables, Net",73.01,77.22,67.18,66.51,56.71
Prepaid Expenses,6.51,0,3.48,2.62,0.95
"Other Current Assets, Total",1.39,1.04,2.25,5.19,3.96
Total Current Assets,397.81,426.56,417.18,424.78,376.03
"Property/Plant/Equipment, Total - Gross",397.40,0,367.88,396.01,416.10
"Accumulated Depreciation, Total",-154.56,0,-155.61,-172.46,-186.79
"Property/Plant/Equipment, Total - Net",242.84,219.21,212.27,223.54,229.31
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,5.25,4.97
Long Term Investments,134.59,69.30,75.13,57.67,61.08
Total Assets,776.86,717.09,708.44,717.57,682.75
Accounts Payable,27.60,0,25.70,30.23,26.92
Accrued Expenses,39.16,0,22.50,20.21,23.18
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",14.79,1.02,13.02,17.84,16.19
Total Current Liabilities,81.55,72.06,61.22,70.85,69.25
Total Long Term Debt,0.00,0.00,0.00,19.16,15.50
Total Debt,0.00,0.00,0.00,21.74,18.45
Deferred Income Tax,13.56,10.33,12.25,10.12,8.12
"Other Liabilities, Total",2.44,2.56,1.84,1.74,1.72
Total Liabilities,97.54,84.94,75.31,101.87,94.59
"Common Stock, Total",224.92,227.56,228.25,228.25,228.25
Retained Earnings (Accumulated Deficit),351.16,412.59,407.39,395.36,367.92
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),154.60,6.70,6.67,3.27,3.64
"Other Equity, Total",-51.36,-14.70,-9.17,-11.18,-11.64
Total Equity,679.32,632.15,633.13,615.70,588.16
Total Liabilities & Shareholders' Equity,776.86,717.09,708.44,717.57,682.75
Total Common Shares Outstanding,577.70,579.39,579.91,579.91,579.91
"Tangible Book Value per Share, Common Eq",1.18,1.09,1.09,1.05,1.01
