Fiscal Year,2016,2017,2019,2020,2021
Period Ended,31 Dec 2016,31 Dec 2017,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,24.29,62.97,73.83,27.14,20.62
"Accounts Receivable - Trade, Net",0,0,0,0,0
"Total Receivables, Net",0,0,0,0,0
Prepaid Expenses,75.27,71.80,102.78,142.13,135.63
"Other Current Assets, Total",0,77.85,0.00,0.00,0
Total Current Assets,114.82,212.63,178.13,170.79,159.35
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",68.56,0.00,20.15,11.39,9.33
"Goodwill, Net",0,12.74,12.74,12.74,12.74
"Intangibles, Net",0,0,152.70,64.51,64.38
Long Term Investments,0,0,0,0,0
Total Assets,219.46,225.37,363.71,259.44,245.80
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",17.21,0.92,18.44,1.47,1.01
Total Current Liabilities,17.21,26.07,78.32,51.61,47.99
Total Long Term Debt,0.00,0.00,0.00,10.00,9.99
Total Debt,0.00,0.00,10.00,10.00,9.99
Deferred Income Tax,0,0,6.19,2.30,2.30
"Other Liabilities, Total",0,12.93,0,0,0
Total Liabilities,17.21,40.27,115.15,71.37,67.27
"Common Stock, Total",11.78,15.98,15.98,18.69,18.69
Retained Earnings (Accumulated Deficit),190.47,169.12,232.59,169.38,159.85
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,202.25,185.10,248.56,188.07,178.53
Total Liabilities & Shareholders' Equity,219.46,225.37,363.71,259.44,245.80
Total Common Shares Outstanding,110.08,157.90,157.90,187.90,187.90
"Tangible Book Value per Share, Common Eq",1.84,1.09,0.53,0.59,0.54
