Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Oct 2016,31 Oct 2017,31 Oct 2018,31 Oct 2019,31 Oct 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.79,-0.42,-3.64,0.38,2.69
Depreciation/Depletion,2.74,2.81,3.62,3.39,3.62
Non-Cash Items,1.25,-0.84,0.19,-0.42,0.75
Cash Taxes Paid,0.82,0.09,0.39,0.19,0.74
Changes in Working Capital,4.09,1.90,3.49,3.78,1.10
Cash from Operating Activities,6.38,3.54,3.85,7.22,8.25
Capital Expenditures,-0.96,-6.09,-2.69,-2.01,-5.09
"Other Investing Cash Flow Items, Total",0.11,0.77,2.87,1.64,-0.96
Cash from Investing Activities,-0.85,-5.33,0.18,-0.37,-6.05
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,-0.03,-0.05
Cash from Financing Activities,-6.67,-3.10,-3.86,-4.58,-1.10
Foreign Exchange Effects,0.04,-0.09,-0.04,0.04,0.05
Net Change in Cash,-1.10,-4.97,0.14,2.30,1.14
