Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,1.54,0.70,4.94,1.76,0.89
"Accounts Receivable - Trade, Net",10.89,16.33,15.11,20.58,13.79
"Total Receivables, Net",10.89,16.33,15.11,23.33,15.62
Prepaid Expenses,0.84,0.80,0.92,0.71,0.77
"Other Current Assets, Total",0.28,0.24,0.25,0.60,0.09
Total Current Assets,13.83,18.28,21.40,27.01,17.65
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",165.25,159.71,179.70,168.48,155.32
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.14,0.14,0.14,0.15,0.18
Long Term Investments,0.00,0.08,0.71,0.00,0.00
Total Assets,179.52,178.53,202.37,196.10,173.53
Accounts Payable,14.78,14.67,17.25,19.98,13.02
Accrued Expenses,0,0,0,6.69,5.81
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.41,5.48,9.33,3.88,1.31
Total Current Liabilities,53.54,39.80,47.30,46.96,75.60
Total Long Term Debt,40.40,55.23,62.31,52.80,3.32
Total Debt,75.75,74.88,83.04,69.22,58.78
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0.52,7.90,8.48,10.39,13.54
Total Liabilities,94.46,102.93,118.10,110.15,92.46
"Common Stock, Total",12.37,12.37,38.31,38.31,38.31
Retained Earnings (Accumulated Deficit),72.69,63.23,45.96,47.65,42.77
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,85.06,75.60,84.27,85.95,81.07
Total Liabilities & Shareholders' Equity,179.52,178.53,202.37,196.10,173.53
Total Common Shares Outstanding,260.59,260.59,523.51,523.51,523.51
"Tangible Book Value per Share, Common Eq",0.33,0.29,0.16,0.16,0.15
