Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,29.81,33.87,58.80,76.52,64.39
Total Revenue,29.81,33.87,58.80,76.52,64.39
"Selling/General/Admin. Expenses, Total",6.87,6.55,6.41,5.82,7.77
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),8.12,0.00,16.23,0.59,5.75
"Other Operating Expenses, Total",-0.15,-0.06,-0.19,-0.25,-0.50
Total Operating Expense,39.34,37.10,65.89,65.11,63.35
Operating Income,-9.54,-3.23,-7.09,11.41,1.05
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.81,-8.45,-7.68,-6.62,-4.85
"Other, Net",0,0,-0.50,-1.89,-1.65
Net Income Before Taxes,-11.35,-12.40,-15.27,2.40,-5.45
Provision for Income Taxes,0.08,0.76,1.64,0.00,0.00
Net Income After Taxes,-11.43,-13.16,-16.92,2.40,-5.45
Net Income Before Extra. Items,-11.43,-13.16,-16.92,2.40,-5.45
Net Income,-11.43,-13.16,-16.92,2.40,-5.45
Income Available to Com Excl ExtraOrd,-11.43,-13.16,-16.92,2.40,-5.45
Income Available to Com Incl ExtraOrd,-11.43,-13.16,-16.92,2.40,-5.45
Diluted Net Income,-11.43,-13.16,-16.92,2.40,-5.45
Diluted Weighted Average Shares,260.59,260.59,275.00,523.51,523.51
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.05,-0.06,0.00,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.05,-0.02,0.01,0.00
