Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,13.43,4.24,-4.41,-37.56,-19.29
Depreciation/Depletion,13.66,12.28,13.13,17.85,18.46
Non-Cash Items,16.20,-10.92,-4.68,19.70,17.87
Cash Taxes Paid,6.51,2.79,2.44,1.46,1.10
Changes in Working Capital,-14.68,-13.20,0.99,5.27,1.76
Cash from Operating Activities,28.94,-6.69,6.10,6.18,19.60
Capital Expenditures,-26.50,-16.01,-45.23,-28.92,-8.69
"Other Investing Cash Flow Items, Total",143.77,21.31,5.93,12.18,29.93
Cash from Investing Activities,117.28,5.31,-39.31,-16.73,21.24
Total Cash Dividends Paid,-18.68,-93.39,-18.68,-18.68,-18.68
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-19.66,-115.44,-9.85,-23.19,-22.67
Foreign Exchange Effects,-0.16,0.47,-0.10,-0.36,0.58
Net Change in Cash,126.39,-116.35,-43.15,-34.11,18.75
