Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,97.06,75.18,54.43,48.77,72.19
Short Term Investments,360.61,272.63,250.23,233.33,230.03
Cash and Short Term Investments,457.66,347.81,304.66,282.09,302.22
"Accounts Receivable - Trade, Net",89.23,101.38,88.20,76.51,70.65
"Total Receivables, Net",93.35,105.20,91.87,82.86,74.34
Prepaid Expenses,8.28,7.32,7.26,8.06,5.68
"Other Current Assets, Total",16.59,48.36,3.93,3.35,2.37
Total Current Assets,612.44,558.81,461.90,422.08,435.77
"Property/Plant/Equipment, Total - Gross",341.52,352.90,380.01,422.61,434.66
"Accumulated Depreciation, Total",-218.27,-227.29,-223.98,-259.31,-286.08
"Property/Plant/Equipment, Total - Net",123.25,125.61,156.03,163.30,148.58
"Goodwill, Net",8.68,8.68,8.68,8.68,8.68
"Intangibles, Net",1.67,2.91,2.51,1.66,1.19
Long Term Investments,60.44,16.88,61.59,60.79,48.03
Total Assets,814.83,719.98,699.29,664.83,645.42
Accounts Payable,32.74,47.77,44.63,37.76,26.13
Accrued Expenses,45.96,43.48,32.68,35.21,40.90
Notes Payable/Short Term Debt,12.88,1.81,0.25,0.22,0.19
"Other Current liabilities, Total",15.90,16.76,22.08,19.30,23.14
Total Current Liabilities,110.61,111.65,101.49,106.35,108.65
Total Long Term Debt,15.51,9.05,20.06,40.52,36.44
Total Debt,31.52,12.70,22.17,54.59,54.92
Deferred Income Tax,3.72,2.62,2.18,2.11,2.12
"Other Liabilities, Total",6.62,6.60,9.23,6.68,6.43
Total Liabilities,141.03,134.73,137.54,154.52,149.96
"Common Stock, Total",193.84,193.84,193.84,193.84,193.84
Retained Earnings (Accumulated Deficit),492.05,390.17,367.41,315.88,296.06
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),2.00,1.52,1.56,4.97,5.53
"Other Equity, Total",-14.09,-0.29,-1.05,-4.38,0.03
Total Equity,673.80,585.25,561.75,510.31,495.46
Total Liabilities & Shareholders' Equity,814.83,719.98,699.29,664.83,645.42
Total Common Shares Outstanding,373.56,373.56,373.56,373.56,373.56
"Tangible Book Value per Share, Common Eq",1.78,1.54,1.47,1.34,1.30
