Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,65.58,49.60,25.21,44.57,-31.50
Depreciation/Depletion,6.46,5.73,7.05,9.18,9.38
Non-Cash Items,-23.21,-18.63,-9.38,15.80,37.37
Cash Taxes Paid,24.58,2.35,21.90,15.89,15.70
Changes in Working Capital,-41.31,-55.84,-188.07,181.97,53.38
Cash from Operating Activities,7.54,-19.13,-165.01,251.70,68.82
Capital Expenditures,-47.86,-53.55,-16.98,-5.96,-18.98
"Other Investing Cash Flow Items, Total",-0.87,67.70,20.42,-29.64,-10.37
Cash from Investing Activities,-48.73,14.16,3.44,-35.60,-29.35
Total Cash Dividends Paid,-21.48,-16.43,-11.72,-11.74,-14.21
"Issuance (Retirement) of Stock, Net",0.00,0.40,0.80,0.00,0
Cash from Financing Activities,-35.39,2.20,152.67,-185.30,-59.29
Foreign Exchange Effects,0.88,-0.22,-5.07,-1.46,7.06
Net Change in Cash,-75.70,-2.99,-13.96,29.34,-12.77
