Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,385.37,246.81,132.86,444.03,198.43
Total Revenue,385.37,246.81,132.86,444.03,198.43
"Selling/General/Admin. Expenses, Total",20.24,16.07,19.00,22.86,13.64
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0.00,-0.31,0.00,0
"Other Operating Expenses, Total",20.28,27.18,19.20,26.65,27.97
Total Operating Expense,319.79,192.56,111.37,382.75,199.71
Operating Income,65.58,54.25,21.49,61.28,-1.28
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-4.37,3.86,-16.35,-30.16
"Other, Net",0,-0.28,-0.13,-0.36,-0.06
Net Income Before Taxes,65.58,49.60,25.21,44.57,-31.50
Provision for Income Taxes,12.66,15.79,4.15,15.43,1.11
Net Income After Taxes,52.92,33.82,21.06,29.14,-32.61
Net Income Before Extra. Items,49.80,31.71,21.29,30.32,-29.49
Net Income,49.80,31.71,21.29,30.32,-29.49
Income Available to Com Excl ExtraOrd,49.80,31.71,21.29,30.32,-29.49
Income Available to Com Incl ExtraOrd,49.80,31.71,21.29,30.32,-29.49
Diluted Net Income,49.80,31.71,21.29,30.32,-29.49
Diluted Weighted Average Shares,1312.66,1311.23,1307.79,1303.98,1303.98
Diluted EPS Excluding ExtraOrd Items,0.04,0.02,0.02,0.02,-0.02
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.00
Diluted Normalised EPS,0.04,0.02,0.02,0.02,-0.02
