Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-6.22,-5.47,-0.20,-9.66,0.68
Depreciation/Depletion,0.54,0.45,0.47,2.48,1.14
Non-Cash Items,1.88,1.08,-4.48,6.35,0.33
Cash Taxes Paid,0.19,0.17,0.17,-0.01,0.10
Changes in Working Capital,0.42,2.30,-24.92,-0.47,0.30
Cash from Operating Activities,-3.38,-1.64,-29.12,-1.30,2.47
Capital Expenditures,-0.42,-0.26,-1.19,-0.98,-1.11
"Other Investing Cash Flow Items, Total",0.00,0.66,64.62,0.04,-0.26
Cash from Investing Activities,-0.42,0.40,63.42,-0.94,-1.37
Total Cash Dividends Paid,0,0.00,-0.49,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,2.00,0.80
Cash from Financing Activities,3.21,1.26,-31.36,0.30,-1.64
Foreign Exchange Effects,0.01,0.01,0.00,0,0
Net Change in Cash,-0.58,0.02,2.94,-1.94,-0.54
