Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0.30,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,0.33,0.30,10.77,1.50,0.97
"Accounts Receivable - Trade, Net",1.89,0,2.84,2.37,0.59
"Total Receivables, Net",1.89,1.55,2.84,2.37,0.59
Prepaid Expenses,0,0.22,0,0,0
"Other Current Assets, Total",0,0.05,0,0,0
Total Current Assets,6.27,5.48,14.81,4.05,1.56
"Property/Plant/Equipment, Total - Gross",0,3.74,0,0,0
"Accumulated Depreciation, Total",0,-3.32,0,0,0
"Property/Plant/Equipment, Total - Net",0.79,0.41,0.18,0.41,0.04
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",12.61,11.62,8.55,8.29,1.46
Long Term Investments,0,0,0.26,0.26,0.26
Total Assets,19.89,17.66,24.26,13.08,3.41
Accounts Payable,10.52,2.71,4.11,2.81,1.61
Accrued Expenses,0,4.50,0,0,0
Notes Payable/Short Term Debt,17.82,3.47,2.39,1.36,1.00
"Other Current liabilities, Total",1.61,13.95,0.00,0,0
Total Current Liabilities,29.95,31.17,6.50,4.45,2.66
Total Long Term Debt,0.00,0.00,0.00,0.05,0.00
Total Debt,17.82,10.01,2.39,1.69,1.05
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0.14,0.07,0.07,0.07,0.00
Total Liabilities,30.09,31.24,6.57,4.57,2.66
"Common Stock, Total",152.69,171.22,172.78,173.18,173.18
Retained Earnings (Accumulated Deficit),-162.88,-184.80,-155.08,-164.67,-172.43
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,-10.20,-13.58,17.70,8.52,0.75
Total Liabilities & Shareholders' Equity,19.89,17.66,24.26,13.08,3.41
Total Common Shares Outstanding,1038.01,1894.25,2092.63,2235.27,2235.27
"Tangible Book Value per Share, Common Eq",-0.02,-0.01,0.00,0.00,-0.00
