Fiscal Year,2011,2012,2013,2014,2015
Period Ended,30 Sep 2011,30 Sep 2012,30 Sep 2013,30 Sep 2014,30 Sep 2015
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,9.38,8.62,3.12,4.20,8.98
"Accounts Receivable - Trade, Net",43.70,32.19,31.44,44.66,37.69
"Total Receivables, Net",52.97,48.34,45.52,52.51,55.87
Prepaid Expenses,12.58,0.73,0.28,1.39,1.10
"Other Current Assets, Total",11.98,20.95,23.27,5.03,14.96
Total Current Assets,95.60,84.46,76.34,67.84,83.08
"Property/Plant/Equipment, Total - Gross",44.99,53.69,62.16,157.14,112.49
"Accumulated Depreciation, Total",-10.87,-13.70,-18.95,-25.84,-23.15
"Property/Plant/Equipment, Total - Net",34.12,39.99,43.21,131.30,89.34
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,5.31,4.15
Long Term Investments,0.15,9.68,11.82,5.23,0.60
Total Assets,141.86,138.21,134.58,212.02,177.16
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,35.81,43.00,50.85,56.27,3.27
"Other Current liabilities, Total",24.70,8.82,11.12,14.83,23.82
Total Current Liabilities,86.95,78.93,75.38,94.77,48.30
Total Long Term Debt,4.54,2.85,1.92,32.89,34.46
Total Debt,41.43,47.42,53.81,95.91,42.00
Deferred Income Tax,1.20,1.29,1.33,3.05,0.91
"Other Liabilities, Total",0,0,0,8.77,25.46
Total Liabilities,89.91,81.54,76.94,143.48,111.10
"Common Stock, Total",46.95,54.52,65.76,74.14,70.82
Retained Earnings (Accumulated Deficit),4.86,1.91,-8.00,-4.56,-3.48
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.14,0.23,-0.12,-1.04,-1.28
Total Equity,51.95,56.67,57.63,68.53,66.06
Total Liabilities & Shareholders' Equity,141.86,138.21,134.58,212.02,177.16
Total Common Shares Outstanding,206.06,213.81,220.53,234.93,230.20
"Tangible Book Value per Share, Common Eq",0.25,0.27,0.26,0.27,0.27
