Fiscal Year,2011,2012,2013,2014,2015
Period Ended,30 Sep 2011,30 Sep 2012,30 Sep 2013,30 Sep 2014,30 Sep 2015
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,124.86,148.87,40.76,69.25,74.18
Total Revenue,125.80,149.73,40.76,69.25,74.18
"Selling/General/Admin. Expenses, Total",23.87,31.26,17.45,19.12,36.85
Depreciation/Amortisation,2.63,4.44,4.02,4.20,5.05
Unusual Expense (Income),-0.12,-5.65,0.05,1.66,-16.75
"Other Operating Expenses, Total",-0.95,-1.29,-0.14,1.07,-0.65
Total Operating Expense,104.47,121.12,50.56,75.31,73.54
Operating Income,21.33,28.61,-9.80,-6.07,0.64
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,21.33,28.61,-9.80,-6.07,0.64
Provision for Income Taxes,4.54,5.43,0.25,0.88,-0.50
Net Income After Taxes,16.79,23.18,-10.05,-6.94,1.14
Net Income Before Extra. Items,18.71,20.24,-9.91,-7.47,1.08
Net Income,18.71,20.24,-9.91,-7.47,1.08
Income Available to Com Excl ExtraOrd,18.71,20.24,-9.91,-7.47,1.08
Income Available to Com Incl ExtraOrd,18.71,20.24,-9.91,-7.47,1.08
Diluted Net Income,18.71,20.24,-9.91,-7.47,1.08
Diluted Weighted Average Shares,192.62,206.93,221.84,223.21,371.99
Diluted EPS Excluding ExtraOrd Items,0.10,0.10,-0.04,-0.03,0.00
DPS - Common Stock Primary Issue,0.06,0.05,0.00,0,0
Diluted Normalised EPS,0.10,0.08,-0.04,-0.03,-0.03
