Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,28.98,28.05,22.76,22.37,22.89
Total Revenue,28.98,28.05,22.76,22.37,22.89
"Selling/General/Admin. Expenses, Total",4.47,3.51,3.72,2.99,2.70
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,-0.15,0.00
"Other Operating Expenses, Total",1.10,1.10,0.97,1.26,1.01
Total Operating Expense,25.21,24.62,26.35,25.57,22.30
Operating Income,3.77,3.44,-3.59,-3.20,0.59
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.02,-0.02,-0.12,-0.26,-0.17
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.75,3.41,-3.72,-3.46,0.42
Provision for Income Taxes,-0.22,0.57,1.27,-0.15,0.06
Net Income After Taxes,3.97,2.85,-4.99,-3.31,0.36
Net Income Before Extra. Items,3.97,2.85,-4.99,-3.31,0.36
Net Income,3.73,2.51,-4.99,-3.31,0.36
Income Available to Com Excl ExtraOrd,3.97,2.85,-4.99,-3.31,0.36
Income Available to Com Incl ExtraOrd,3.73,2.51,-4.99,-3.31,0.36
Diluted Net Income,3.73,2.51,-4.99,-3.31,0.36
Diluted Weighted Average Shares,35.36,35.32,35.20,35.20,35.20
Diluted EPS Excluding ExtraOrd Items,0.11,0.08,-0.14,-0.09,0.01
DPS - Common Stock Primary Issue,0.21,0.07,0,0,0
Diluted Normalised EPS,0.11,0.08,-0.14,-0.09,0.01
