Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,59.29,56.91,65.17,68.37,59.04
Depreciation/Depletion,0.72,0.72,0.89,6.30,9.45
Non-Cash Items,-0.14,-1.11,3.03,-11.08,-1.55
Cash Taxes Paid,4.83,14.09,11.20,13.24,9.53
Changes in Working Capital,-6.53,-21.40,-17.57,-4.64,37.22
Cash from Operating Activities,53.43,35.22,51.61,59.30,104.46
Capital Expenditures,-0.77,-0.90,-1.73,-1.28,-1.23
"Other Investing Cash Flow Items, Total",1.60,-3.88,-25.64,-38.32,1.57
Cash from Investing Activities,0.83,-4.78,-27.37,-39.60,0.33
Total Cash Dividends Paid,-73.53,-20.57,-23.46,-28.16,-28.00
"Issuance (Retirement) of Stock, Net",15.00,176.06,-6.63,-0.33,-3.15
Cash from Financing Activities,-69.49,153.41,-31.23,-34.60,-40.90
Foreign Exchange Effects,0.51,-0.86,-0.30,-0.75,2.18
Net Change in Cash,-14.71,183.00,-7.28,-15.65,66.07
