Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,Interim Report,ARS,ARS,ARS
Cash,90.60,87.87,93.59,136.01,258.66
Short Term Investments,14.16,204.80,205.90,140.09,81.58
Cash and Short Term Investments,104.77,292.67,299.50,276.10,340.24
"Accounts Receivable - Trade, Net",65.85,74.56,81.71,75.84,67.31
"Total Receivables, Net",66.34,74.95,83.24,77.53,68.72
Prepaid Expenses,1.00,0.93,1.14,1.14,1.27
"Other Current Assets, Total",4.62,4.65,1.18,1.56,1.76
Total Current Assets,176.72,373.18,385.05,356.33,412.00
"Property/Plant/Equipment, Total - Gross",13.72,13.80,14.06,33.65,36.95
"Accumulated Depreciation, Total",-12.99,-13.01,-12.50,-17.95,-27.24
"Property/Plant/Equipment, Total - Net",0.73,0.79,1.56,15.70,9.71
"Goodwill, Net",0,0.00,5.19,5.19,5.19
"Intangibles, Net",0.23,0.22,1.60,1.50,1.35
Long Term Investments,0,0.00,12.20,38.73,21.84
Total Assets,178.26,375.47,407.34,419.26,452.38
Accounts Payable,5.70,6.15,6.49,6.03,6.48
Accrued Expenses,39.03,33.25,36.22,35.55,38.68
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",36.32,15.30,16.06,16.46,51.21
Total Current Liabilities,81.05,54.70,58.77,65.51,102.27
Total Long Term Debt,0.00,0.00,0.00,6.79,2.64
Total Debt,0.00,0.00,0.00,14.26,8.54
Deferred Income Tax,0.01,0.00,0.37,0.35,0.32
"Other Liabilities, Total",0,0.00,2.96,0.00,0
Total Liabilities,94.36,62.98,74.05,87.26,120.71
"Common Stock, Total",48.52,260.61,260.61,260.61,260.61
Retained Earnings (Accumulated Deficit),37.68,51.93,77.56,100.52,117.94
Treasury Stock - Common,0,0,-4.90,-3.63,-5.15
Unrealised Gain (Loss),0,0,0.00,-25.24,-42.66
"Other Equity, Total",-2.30,-0.04,0.03,-0.24,0.94
Total Equity,83.90,312.49,333.29,332.01,331.67
Total Liabilities & Shareholders' Equity,178.26,375.47,407.34,419.26,452.38
Total Common Shares Outstanding,1011.41,1011.41,1005.82,1007.07,1002.67
"Tangible Book Value per Share, Common Eq",0.08,0.31,0.32,0.32,0.32
