Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-6.58,3.93,-6.32,-0.70,-3.95
Depreciation/Depletion,0.17,0.18,0.29,0.78,1.36
Non-Cash Items,-2.15,-11.84,-1.98,-6.28,-0.24
Cash Taxes Paid,0.11,0.30,0.00,0,0
Changes in Working Capital,-0.27,0.41,-0.39,0.28,-0.09
Cash from Operating Activities,-8.82,-7.32,-8.39,-5.92,-2.92
Capital Expenditures,-0.14,-0.44,-0.19,-0.24,-0.48
"Other Investing Cash Flow Items, Total",8.47,0.04,7.86,2.46,-3.94
Cash from Investing Activities,8.32,-0.40,7.67,2.22,-4.42
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,9.84,0.00,14.03,0.00
Cash from Financing Activities,0.48,9.49,0.12,13.92,-0.37
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-0.02,1.77,-0.61,10.23,-7.71
