Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,5.32,5.38,6.24,5.50,3.84
Total Revenue,5.32,5.38,6.24,5.50,3.84
"Selling/General/Admin. Expenses, Total",8.88,8.75,6.51,6.55,6.46
Depreciation/Amortisation,0.17,0.18,0.29,0.78,1.69
Unusual Expense (Income),0.00,0,0,0,0
"Other Operating Expenses, Total",-0.43,-0.36,-0.36,-0.31,-0.37
Total Operating Expense,9.50,9.69,7.50,8.13,8.87
Operating Income,-4.18,-4.31,-1.26,-2.63,-5.02
"Interest Inc.(Exp.),Net-Non-Op., Total",-5.70,9.89,-5.23,2.77,-7.24
"Other, Net",-0.05,0,0,0,-0.68
Net Income Before Taxes,-9.93,5.58,-6.49,0.14,-12.95
Provision for Income Taxes,-3.36,1.64,-0.17,0.83,-9.00
Net Income After Taxes,-6.58,3.93,-6.32,-0.70,-3.95
Net Income Before Extra. Items,-6.58,3.86,-6.12,-0.47,-3.73
Net Income,-6.58,3.86,-6.12,-0.47,-3.73
Income Available to Com Excl ExtraOrd,-6.58,3.86,-6.12,-0.47,-3.73
Income Available to Com Incl ExtraOrd,-6.58,3.86,-6.12,-0.47,-3.73
Diluted Net Income,-6.58,3.86,-6.12,-0.47,-3.73
Diluted Weighted Average Shares,508.74,525.41,608.74,655.20,791.19
Diluted EPS Excluding ExtraOrd Items,-0.01,0.01,-0.01,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,0.01,-0.01,-0.00,-0.00
