Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,86.98,87.23,49.96,31.46,-32.47
Depreciation/Depletion,0.06,0.40,0.36,0.38,0.38
Non-Cash Items,-89.81,-92.39,-57.15,-41.10,26.39
Cash Taxes Paid,0.04,0.09,0.02,1.02,0.37
Changes in Working Capital,0.31,-0.49,1.01,0.28,-0.45
Cash from Operating Activities,-2.46,-5.25,-5.83,-8.98,-6.16
Capital Expenditures,-0.00,-0.00,-0.02,-0.72,-0.03
"Other Investing Cash Flow Items, Total",42.60,115.82,17.44,64.20,132.24
Cash from Investing Activities,42.60,115.82,17.42,63.48,132.21
Total Cash Dividends Paid,0,0.00,-58.29,-376.26,-81.03
"Issuance (Retirement) of Stock, Net",-1.13,0,0,0,-0.46
Cash from Financing Activities,-68.13,-88.81,-60.54,-53.74,-131.49
Foreign Exchange Effects,0.60,-3.30,1.22,-0.11,-0.16
Net Change in Cash,-27.39,18.46,-47.72,0.65,-5.59
