Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-7.15,-7.20,-8.29,-13.05,56.09
Depreciation/Depletion,0.12,0.07,0.05,0.41,0.47
Non-Cash Items,0.95,0.55,4.56,8.90,-58.52
Cash Taxes Paid,0,0,0,0,0.59
Changes in Working Capital,-18.75,-3.33,15.43,13.00,4.35
Cash from Operating Activities,-24.83,-9.91,11.75,9.25,2.39
Capital Expenditures,-0.11,-0.04,-0.04,-0.01,-0.04
"Other Investing Cash Flow Items, Total",0.47,-0.56,-0.04,0.25,0.68
Cash from Investing Activities,0.36,-0.60,-0.08,0.25,0.64
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",13.12,6.35,0.00,2.50,24.66
Cash from Financing Activities,21.31,8.77,-11.43,-7.57,15.65
Foreign Exchange Effects,-0.07,-0.44,0.11,-0.11,-0.19
Net Change in Cash,-3.24,-2.18,0.35,1.82,18.49
