Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1.70,15.01,26.92,30.59,25.05
Total Revenue,1.70,15.01,26.92,30.59,25.05
"Selling/General/Admin. Expenses, Total",5.88,8.75,7.33,4.72,5.62
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.49,0.15,0.00,-0.40,-0.09
"Other Operating Expenses, Total",1.05,-3.78,-0.81,7.48,1.60
Total Operating Expense,8.84,22.08,34.45,40.38,32.49
Operating Income,-7.14,-7.07,-7.53,-9.79,-7.44
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.01,-0.13,-0.76,-0.58,-0.19
"Other, Net",0,0,0,-0.07,-0.03
Net Income Before Taxes,-7.15,-7.20,-8.29,-10.44,-7.66
Provision for Income Taxes,0.81,-0.81,0.00,0.59,0.02
Net Income After Taxes,-7.96,-6.39,-8.29,-11.03,-7.68
Net Income Before Extra. Items,-7.93,-6.39,-8.29,-10.48,-7.45
Net Income,-7.12,-6.39,-8.29,-13.09,56.29
Income Available to Com Excl ExtraOrd,-7.93,-6.39,-8.29,-10.48,-7.45
Income Available to Com Incl ExtraOrd,-7.12,-6.39,-8.29,-13.09,56.29
Diluted Net Income,-7.12,-6.39,-8.29,-13.09,56.29
Diluted Weighted Average Shares,403.39,1101.46,1101.46,1103.88,1356.24
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.01,-0.01,-0.01,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.01,-0.01,-0.01,-0.01
