Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.31,5.00,1.07,0.58,59.96
Cash and Short Term Investments,4.20,6.70,3.12,4.45,82.33
"Accounts Receivable - Trade, Net",0.31,1.58,1.39,1.31,2.95
"Total Receivables, Net",0.31,1.58,1.39,1.31,2.95
Prepaid Expenses,0.19,0.17,0.13,0.14,0.09
"Other Current Assets, Total",6.60,3.71,5.42,5.86,8.76
Total Current Assets,82.40,81.88,67.18,46.62,123.62
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0.20,0.15,0.14,0.38,0.37
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0.00,0.49,0.46,0.45,0.20
Total Assets,82.60,82.52,67.78,47.45,124.20
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.81,0,0.00,0.57,0.00
Total Current Liabilities,51.15,35.25,30.67,21.83,12.51
Total Long Term Debt,1.97,1.88,0.00,0.00,0.84
Total Debt,36.97,12.99,2.22,0.49,1.33
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0.69,0.00
Total Liabilities,56.60,39.24,32.21,22.14,15.77
"Common Stock, Total",81.29,102.43,102.43,104.92,131.99
Retained Earnings (Accumulated Deficit),-55.15,-59.10,-66.82,-79.53,-23.61
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,-0.05,-0.04,0.00
"Other Equity, Total",-0.14,-0.05,0.01,-0.05,0.06
Total Equity,26.00,43.28,35.58,25.31,108.43
Total Liabilities & Shareholders' Equity,82.60,82.52,67.78,47.45,124.20
Total Common Shares Outstanding,569.86,1101.46,1101.46,1101.46,1769.91
"Tangible Book Value per Share, Common Eq",0.05,0.04,0.03,0.02,0.06
