Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,34.60,28.68,40.87,0.99,1.01
Cash and Short Term Investments,183.09,224.42,109.68,47.48,96.36
"Accounts Receivable - Trade, Net",50.03,36.94,86.74,146.33,126.54
"Total Receivables, Net",590.98,98.79,86.74,146.33,126.54
Prepaid Expenses,156.79,4.72,11.46,5.38,2.37
"Other Current Assets, Total",124.22,6.30,0,0,0
Total Current Assets,3453.38,716.27,355.17,322.73,243.18
"Property/Plant/Equipment, Total - Gross",547.07,745.75,0,0,0
"Accumulated Depreciation, Total",-118.57,-477.05,0,0,0
"Property/Plant/Equipment, Total - Net",428.50,268.70,613.25,809.98,485.63
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,209.02,31.11,25.91,23.47,0.67
Total Assets,4098.31,1114.69,1001.19,1156.18,729.47
Accounts Payable,824.40,1074.13,0,0,0
Accrued Expenses,4.49,5.60,0,0,0
Notes Payable/Short Term Debt,288.43,411.85,0.00,0.00,0.00
"Other Current liabilities, Total",73.77,51.83,0,2.21,45.80
Total Current Liabilities,1851.37,2770.80,306.21,426.74,1369.11
Total Long Term Debt,874.78,0.00,1009.52,905.07,0.99
Total Debt,1823.50,1639.25,1009.52,1001.28,998.88
Deferred Income Tax,1.48,0.22,0.22,0.59,3.13
"Other Liabilities, Total",2.64,2.58,143.71,188.00,127.68
Total Liabilities,2729.49,2775.10,1464.85,1526.47,1504.40
"Common Stock, Total",405.96,81.19,3.42,3.48,3.55
Retained Earnings (Accumulated Deficit),556.81,-2138.47,-760.78,-670.09,-1077.41
Treasury Stock - Common,-4.10,-4.10,-4.10,-4.10,-4.10
Unrealised Gain (Loss),0,-2.37,0,0,0
"Other Equity, Total",327.79,320.99,0,0,0
Total Equity,1368.81,-1660.41,-463.66,-370.28,-774.92
Total Liabilities & Shareholders' Equity,4098.31,1114.69,1001.19,1156.18,729.47
Total Common Shares Outstanding,2414.12,2414.12,7017.94,7272.64,7272.64
"Tangible Book Value per Share, Common Eq",0.57,-0.69,-0.07,-0.05,-0.11
