Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-42.62,-3018.59,1018.22,68.33,-397.36
Depreciation/Depletion,20.89,19.21,17.37,30.11,30.08
Non-Cash Items,66.69,3025.84,-1018.50,-27.73,445.98
Cash Taxes Paid,1.08,0.30,-0.15,2.28,3.14
Changes in Working Capital,-283.63,22.60,-69.11,-75.53,-75.63
Cash from Operating Activities,-238.67,49.06,-52.03,-4.82,3.07
Capital Expenditures,-0.09,-2.92,-90.38,-58.85,-11.13
"Other Investing Cash Flow Items, Total",128.19,46.70,1.85,3.15,64.59
Cash from Investing Activities,128.10,43.77,-88.54,-55.70,53.46
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,66.01,0.00,0
Cash from Financing Activities,-176.99,-59.65,65.57,-0.93,-5.26
Foreign Exchange Effects,8.19,-12.78,-1.32,1.95,-2.41
Net Change in Cash,-279.37,20.41,-76.31,-59.50,48.86
