Fiscal Year,2015,2017,2018,2019,2020
Period Ended,31 Dec 2015,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-6.50,-6.92,-4.01,-4.12,-4.65
Depreciation/Depletion,0.86,1.20,0.71,0.33,1.58
Non-Cash Items,3.26,1.51,0.48,0.99,0.79
Cash Taxes Paid,-0.02,0.09,-0.05,-0.03,-0.00
Changes in Working Capital,0.70,5.76,3.85,3.72,-2.73
Cash from Operating Activities,-1.68,1.55,1.02,0.92,-5.00
Capital Expenditures,-0.86,-0.68,-0.17,-0.07,-0.40
"Other Investing Cash Flow Items, Total",-0.25,0.01,0.09,0.06,-0.08
Cash from Investing Activities,-1.10,-0.67,-0.08,-0.01,-0.48
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,3.98
Cash from Financing Activities,2.98,-4.21,-0.78,-0.65,11.72
Foreign Exchange Effects,-0.00,0.01,-0.01,-0.00,-0.02
Net Change in Cash,0.19,-3.32,0.16,0.25,6.22
