Fiscal Year,2015,2017,2018,2019,2020
Period Ended,31 Dec 2015,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,18 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,26.61,49.55,14.39,11.05,15.22
Total Revenue,26.61,49.55,14.39,11.05,15.22
"Selling/General/Admin. Expenses, Total",14.30,19.93,9.30,7.58,7.88
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.64,0,0,0,-1.14
"Other Operating Expenses, Total",4.68,0.31,0.29,0.55,0.85
Total Operating Expense,32.27,55.14,17.70,14.40,17.85
Operating Income,-5.66,-5.59,-3.31,-3.35,-2.63
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.84,-1.33,-0.70,-0.43,-2.10
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-6.50,-6.92,-4.01,-3.79,-4.73
Provision for Income Taxes,-0.45,0.00,0.00,0.34,-0.08
Net Income After Taxes,-6.05,-6.92,-4.01,-4.12,-4.65
Net Income Before Extra. Items,-5.34,-6.93,-4.03,-3.87,-4.77
Net Income,-5.34,-6.93,-4.03,-3.87,-4.77
Income Available to Com Excl ExtraOrd,-5.34,-6.93,-4.03,-3.87,-4.77
Income Available to Com Incl ExtraOrd,-5.34,-6.93,-4.03,-3.87,-4.77
Diluted Net Income,-5.34,-6.93,-4.03,-3.87,-4.77
Diluted Weighted Average Shares,100.00,100.00,100.10,118.48,135.19
Diluted EPS Excluding ExtraOrd Items,-0.05,-0.07,-0.04,-0.03,-0.04
DPS - Common Stock Primary Issue,0,0.00,0,0,0
Diluted Normalised EPS,-0.04,-0.07,-0.04,-0.03,-0.04
