Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,215.86,443.75,432.97,420.02,342.83
Depreciation/Depletion,26.22,29.99,30.64,38.50,41.46
Non-Cash Items,11.57,11.26,-4.81,-10.19,-0.67
Cash Taxes Paid,33.47,50.32,56.33,61.51,45.02
Changes in Working Capital,-42.52,-37.53,-204.66,-218.83,69.38
Cash from Operating Activities,231.31,448.53,254.22,229.70,453.15
Capital Expenditures,-33.51,-36.97,-58.85,-35.19,-28.05
"Other Investing Cash Flow Items, Total",3.11,22.99,10.29,10.45,8.16
Cash from Investing Activities,-30.40,-13.98,-48.56,-24.74,-19.89
Total Cash Dividends Paid,-138.40,-140.73,-230.02,-201.69,-216.90
"Issuance (Retirement) of Stock, Net",17.68,46.21,22.50,5.52,15.55
Cash from Financing Activities,-162.67,-126.32,-236.74,-204.99,-214.25
Foreign Exchange Effects,3.33,-30.51,-8.55,1.67,-4.74
Net Change in Cash,41.57,277.72,-39.62,1.64,214.27
