Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2874.22,4004.54,3484.60,3633.43,3012.89
Total Revenue,2874.22,4004.54,3484.60,3633.43,3012.89
"Selling/General/Admin. Expenses, Total",0,1.70,1.56,1.61,2.07
Depreciation/Amortisation,45.11,31.06,30.73,38.69,41.61
Unusual Expense (Income),0,-11.35,0.00,0,0
"Other Operating Expenses, Total",130.26,110.44,99.55,93.28,79.06
Total Operating Expense,2658.36,3560.79,3059.80,3223.93,2675.79
Operating Income,215.86,443.75,424.80,409.51,337.10
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,8.17,10.52,5.73
"Other, Net",0,0,0,0,0
Net Income Before Taxes,215.86,443.75,432.97,420.02,342.83
Provision for Income Taxes,35.17,71.05,62.89,56.64,45.43
Net Income After Taxes,180.69,372.70,370.08,363.38,297.40
Net Income Before Extra. Items,180.68,372.82,370.06,363.13,297.33
Net Income,180.68,372.82,370.06,363.13,297.33
Income Available to Com Excl ExtraOrd,180.68,372.82,370.06,363.13,297.33
Income Available to Com Incl ExtraOrd,180.68,372.82,370.06,363.13,297.33
Diluted Net Income,180.68,372.82,370.06,363.13,297.33
Diluted Weighted Average Shares,278.64,286.79,290.60,289.91,290.81
Diluted EPS Excluding ExtraOrd Items,0.65,1.30,1.27,1.25,1.02
DPS - Common Stock Primary Issue,0.50,0.60,0.70,0.70,0.75
Diluted Normalised EPS,0.67,1.27,1.27,1.25,1.03
