Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.88,2.87,-0.78,-14.93,-3.90
Depreciation/Depletion,1.39,1.72,1.85,4.79,3.77
Non-Cash Items,0.07,-1.69,0.71,7.94,1.12
Cash Taxes Paid,0.14,0.04,0.22,0.16,0.03
Changes in Working Capital,-2.41,-7.58,4.37,6.19,5.59
Cash from Operating Activities,0.93,-4.67,6.15,3.99,6.58
Capital Expenditures,-2.32,-1.04,-1.88,-0.57,-0.27
"Other Investing Cash Flow Items, Total",-0.30,0.30,0.00,0.10,0.12
Cash from Investing Activities,-2.62,-0.75,-1.88,-0.48,-0.15
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-10.88,-6.34,-0.01,-2.78,-2.57
Foreign Exchange Effects,-1.29,-0.34,-0.19,-0.20,0.27
Net Change in Cash,-13.85,-12.09,4.08,0.53,4.12
