Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,91.54,99.83,108.47,102.47,0.18
Total Revenue,91.54,99.83,108.47,102.47,0.18
"Selling/General/Admin. Expenses, Total",6.69,9.31,11.06,14.03,2.04
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.61,-1.36,0.00,-24.82,-0.04
"Other Operating Expenses, Total",-0.08,-0.28,-0.23,-0.66,0.18
Total Operating Expense,84.53,88.95,98.83,33.53,2.32
Operating Income,7.01,10.87,9.64,68.94,-2.15
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.11,-0.27,-0.23,-0.18,5.39
"Other, Net",0,0,0,0,0
Net Income Before Taxes,6.91,10.60,9.42,68.75,3.24
Provision for Income Taxes,1.26,1.35,1.74,1.71,0.00
Net Income After Taxes,5.65,9.25,7.68,67.05,3.24
Net Income Before Extra. Items,5.65,9.17,7.60,66.96,3.24
Net Income,5.65,9.17,7.60,66.96,3.24
Income Available to Com Excl ExtraOrd,5.65,9.17,7.60,66.96,3.24
Income Available to Com Incl ExtraOrd,5.65,9.17,7.60,66.96,3.24
Diluted Net Income,5.65,9.17,7.60,66.96,3.24
Diluted Weighted Average Shares,260.71,297.91,316.21,316.21,316.21
Diluted EPS Excluding ExtraOrd Items,0.02,0.03,0.02,0.21,0.01
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.02,0.03,0.02,0.14,0.01
