Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,14.28,9.05,6.01,1.25,9.72
Short Term Investments,0,0,0,0,25.00
Cash and Short Term Investments,14.28,9.12,6.08,39.78,34.72
"Accounts Receivable - Trade, Net",12.76,19.06,18.53,0.00,0.00
"Total Receivables, Net",13.08,19.32,21.85,12.72,3.46
Prepaid Expenses,0,0.56,0.69,0.07,0.05
"Other Current Assets, Total",0,1.45,1.47,0.00,0.01
Total Current Assets,31.81,43.51,45.17,52.75,40.28
"Property/Plant/Equipment, Total - Gross",0,12.40,15.07,3.78,3.75
"Accumulated Depreciation, Total",0,-4.26,-4.74,-0.95,-1.37
"Property/Plant/Equipment, Total - Net",2.24,8.14,10.33,2.82,2.38
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.06,0.76,0.65,0.00,0.00
Long Term Investments,0.08,2.12,2.42,54.25,60.00
Total Assets,34.19,56.68,59.70,109.82,102.67
Accounts Payable,7.58,6.66,4.82,0.01,0.00
Accrued Expenses,0,2.03,2.18,3.96,0.52
Notes Payable/Short Term Debt,0.00,8.81,7.13,0.00,0.00
"Other Current liabilities, Total",5.66,4.51,7.22,2.48,2.34
Total Current Liabilities,16.22,22.18,21.40,6.48,2.90
Total Long Term Debt,0.00,0.17,0.11,0.08,0.04
Total Debt,2.99,9.16,7.29,0.11,0.08
Deferred Income Tax,0.13,0.23,0.34,0.00,0
"Other Liabilities, Total",0,0.44,0.48,0.00,0
Total Liabilities,16.35,23.91,23.24,6.56,2.94
"Common Stock, Total",13.23,21.43,21.43,21.43,21.43
Retained Earnings (Accumulated Deficit),4.60,11.60,16.37,81.67,78.28
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,-0.26,-1.34,0.17,0.02
Total Equity,17.84,32.77,36.45,103.27,99.72
Total Liabilities & Shareholders' Equity,34.19,56.68,59.70,109.82,102.67
Total Common Shares Outstanding,282.81,316.21,316.21,316.21,316.21
"Tangible Book Value per Share, Common Eq",0.06,0.10,0.11,0.33,0.32
