Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,188.07,197.38,230.30,273.00,148.54
Total Revenue,188.07,197.38,230.30,273.00,148.54
"Selling/General/Admin. Expenses, Total",12.27,12.94,12.06,12.65,7.98
Depreciation/Amortisation,11.89,13.00,2.61,3.34,2.20
Unusual Expense (Income),0,0.00,0.00,0.00,0
"Other Operating Expenses, Total",1.92,3.54,1.80,6.50,5.96
Total Operating Expense,85.12,73.04,116.31,159.67,133.90
Operating Income,102.95,124.34,113.99,113.33,14.64
"Interest Inc.(Exp.),Net-Non-Op., Total",-49.58,-36.55,-14.55,-74.79,-222.92
"Other, Net",0.00,0.31,0.16,0.91,0
Net Income Before Taxes,53.37,88.10,99.60,39.45,-208.29
Provision for Income Taxes,24.53,25.39,38.67,25.95,21.92
Net Income After Taxes,28.84,62.71,60.93,13.50,-230.21
Net Income Before Extra. Items,28.84,62.71,60.93,13.50,-230.21
Net Income,28.84,62.71,60.93,13.50,-230.21
Income Available to Com Excl ExtraOrd,26.26,48.66,43.21,-4.22,-247.97
Income Available to Com Incl ExtraOrd,26.26,48.66,43.21,-4.22,-247.97
Diluted Net Income,26.26,48.66,43.21,-4.22,-247.97
Diluted Weighted Average Shares,3146.00,3166.49,3192.74,3241.95,7609.67
Diluted EPS Excluding ExtraOrd Items,0.01,0.02,0.01,-0.00,-0.03
DPS - Common Stock Primary Issue,0.03,0.03,0.02,0.02,0.00
Diluted Normalised EPS,0.01,0.02,0.01,-0.00,-0.03
