Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0.44
Cash and Short Term Investments,74.27,59.79,45.30,109.73,109.37
"Accounts Receivable - Trade, Net",8.72,27.00,25.54,23.07,25.74
"Total Receivables, Net",17.22,38.99,40.49,50.47,43.86
Prepaid Expenses,20.90,29.61,21.96,0,0
"Other Current Assets, Total",3.48,5.11,7.38,140.05,13.05
Total Current Assets,115.88,133.50,115.13,300.24,166.28
"Property/Plant/Equipment, Total - Gross",12.38,16.76,20.13,23.48,22.58
"Accumulated Depreciation, Total",-4.88,-6.83,-9.54,-13.22,-14.94
"Property/Plant/Equipment, Total - Net",7.51,9.93,10.60,10.26,7.64
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",19.21,11.91,8.79,5.69,3.33
Long Term Investments,1922.64,1908.14,1831.65,1696.81,1459.36
Total Assets,2065.23,2063.87,1966.16,2013.01,1636.60
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,188.46,0.00,74.82,219.04
"Other Current liabilities, Total",53.87,64.91,70.65,67.47,59.60
Total Current Liabilities,194.30,354.85,217.11,172.24,302.51
Total Long Term Debt,517.87,421.09,555.22,635.77,458.21
Total Debt,642.16,689.56,675.25,710.62,677.25
Deferred Income Tax,31.66,23.36,23.24,11.48,7.86
"Other Liabilities, Total",88.85,96.64,91.38,117.58,95.07
Total Liabilities,832.68,895.94,886.95,937.06,863.65
"Common Stock, Total",1393.64,1049.07,892.82,763.50,551.58
Retained Earnings (Accumulated Deficit),170.03,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-331.11,118.86,186.39,312.44,221.37
Total Equity,1232.56,1167.93,1079.21,1075.95,772.95
Total Liabilities & Shareholders' Equity,2065.23,2063.87,1966.16,2013.01,1636.60
Total Common Shares Outstanding,3147.99,3171.56,3211.93,3251.21,7609.67
"Tangible Book Value per Share, Common Eq",0.39,0.36,0.33,0.33,0.10
