Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,53.37,88.10,99.60,39.45,-208.29
Depreciation/Depletion,1.73,2.46,3.02,3.42,3.23
Non-Cash Items,96.44,71.59,44.20,117.87,260.75
Cash Taxes Paid,32.81,34.13,40.63,39.47,23.91
Changes in Working Capital,-31.52,-34.18,-7.85,-26.27,-18.95
Cash from Operating Activities,131.90,140.96,141.58,137.82,38.94
Capital Expenditures,-3.63,-5.63,-4.11,-2.79,-1.90
"Other Investing Cash Flow Items, Total",-97.03,-176.98,-7.55,-15.24,100.03
Cash from Investing Activities,-100.65,-182.61,-11.67,-18.03,98.13
Total Cash Dividends Paid,-93.82,-99.01,-72.02,-58.44,-23.79
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-38.93,31.37,-142.81,-60.28,-133.96
Foreign Exchange Effects,2.87,-4.21,-1.59,0.96,-2.74
Net Change in Cash,-4.82,-14.48,-14.49,60.47,0.38
