Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,112.52,89.86,111.94,145.66,117.02
Short Term Investments,122.34,88.12,66.90,62.14,135.18
Cash and Short Term Investments,234.86,177.98,178.83,207.80,252.20
"Accounts Receivable - Trade, Net",52.96,7.57,6.77,8.91,10.27
"Total Receivables, Net",55.21,9.42,9.32,17.67,14.60
Prepaid Expenses,1.10,0.49,2.04,1.84,3.31
"Other Current Assets, Total",0.57,1.55,3.46,0.18,2.04
Total Current Assets,292.55,190.19,194.33,228.13,272.71
"Property/Plant/Equipment, Total - Gross",3.54,4.74,6.26,8.07,8.58
"Accumulated Depreciation, Total",-1.84,-2.26,-3.10,-4.29,-5.27
"Property/Plant/Equipment, Total - Net",1.71,2.48,3.16,3.79,3.31
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,6226.35,6292.01,7609.54,8347.23,7790.61
Total Assets,6528.92,6522.75,7820.37,8586.67,8088.67
Accounts Payable,10.41,10.00,11.60,11.29,16.71
Accrued Expenses,32.78,28.50,28.62,43.49,43.85
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",149.73,78.98,85.41,134.36,98.86
Total Current Liabilities,356.06,201.28,413.21,541.89,366.88
Total Long Term Debt,2393.01,2277.28,2580.32,3019.70,3063.85
Total Debt,2556.16,2361.09,2867.90,3372.45,3271.32
Deferred Income Tax,71.19,92.33,119.89,133.16,150.75
"Other Liabilities, Total",72.34,63.11,116.80,161.29,122.08
Total Liabilities,2892.60,2634.00,3234.89,3865.17,3712.99
"Common Stock, Total",3413.99,3812.61,4525.60,4575.67,4275.93
Retained Earnings (Accumulated Deficit),0.24,1.22,2.46,3.78,5.17
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",222.09,74.92,57.42,142.06,94.58
Total Equity,3636.32,3888.75,4585.48,4721.51,4375.68
Total Liabilities & Shareholders' Equity,6528.92,6522.75,7820.37,8586.67,8088.67
Total Common Shares Outstanding,2795.38,2826.27,3173.89,3342.92,3434.34
"Tangible Book Value per Share, Common Eq",1.30,1.38,1.44,1.41,1.27
