Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.64,1.92,4.69,1.88,-2.67
Depreciation/Depletion,1.01,0.91,1.25,1.62,1.71
Non-Cash Items,2.87,-3.92,-0.59,-2.72,1.37
Cash Taxes Paid,0.12,0.67,1.25,0.99,1.10
Changes in Working Capital,-6.30,-4.25,1.08,-6.26,-3.43
Cash from Operating Activities,-0.79,-5.34,6.43,-5.47,-3.02
Capital Expenditures,-1.92,-6.45,-0.39,-0.24,-0.44
"Other Investing Cash Flow Items, Total",2.12,1.55,0.50,0.94,0.38
Cash from Investing Activities,0.21,-4.90,0.11,0.70,-0.07
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,-3.91,-2.21,-0.06,0.00
Cash from Financing Activities,-4.88,-2.36,-2.00,0.00,-1.94
Foreign Exchange Effects,0,-0.55,-0.27,-0.17,-0.17
Net Change in Cash,-5.46,-13.15,4.27,-4.93,-5.20
