Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,325.49,349.15,281.08,290.85,264.04
Total Revenue,325.49,349.15,281.08,290.85,264.04
"Selling/General/Admin. Expenses, Total",20.15,21.99,20.21,20.66,18.75
Depreciation/Amortisation,1.01,0.91,1.25,1.62,1.71
Unusual Expense (Income),0,0.00,-4.18,-3.75,0.00
"Other Operating Expenses, Total",3.14,5.50,7.28,5.24,3.78
Total Operating Expense,323.53,347.43,276.52,288.53,264.98
Operating Income,1.96,1.73,4.56,2.32,-0.94
"Interest Inc.(Exp.),Net-Non-Op., Total",0.38,0.59,0.17,0.15,0.05
"Other, Net",-0.74,-0.22,0.02,-0.60,-1.78
Net Income Before Taxes,1.64,2.12,4.77,1.90,-2.67
Provision for Income Taxes,1.16,1.14,0.94,0.85,0.16
Net Income After Taxes,0.47,0.98,3.83,1.05,-2.83
Net Income Before Extra. Items,0.46,0.96,3.83,1.04,-2.83
Net Income,0.46,0.77,3.75,1.03,-2.83
Income Available to Com Excl ExtraOrd,0.46,0.96,3.83,1.04,-2.83
Income Available to Com Incl ExtraOrd,0.46,0.77,3.75,1.03,-2.83
Diluted Net Income,0.46,0.77,3.75,1.03,-2.83
Diluted Weighted Average Shares,13.71,13.33,12.23,11.86,11.85
Diluted EPS Excluding ExtraOrd Items,0.03,0.07,0.31,0.09,-0.24
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.03,0.07,0.04,-0.12,-0.24
