Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,47.81,44.87,47.65,46.70,44.86
Total Revenue,47.81,44.87,47.65,46.70,44.86
"Selling/General/Admin. Expenses, Total",12.74,11.25,11.17,10.20,10.74
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-0.56,-0.63,-0.73,0.07,-0.18
Total Operating Expense,43.80,40.55,43.13,42.02,42.09
Operating Income,4.01,4.32,4.52,4.68,2.77
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.01,4.32,4.52,4.68,2.77
Provision for Income Taxes,-0.33,0.84,0.90,0.81,0.61
Net Income After Taxes,4.34,3.47,3.62,3.87,2.16
Net Income Before Extra. Items,4.34,3.47,3.62,3.87,2.16
Net Income,4.34,3.47,3.62,3.87,2.16
Income Available to Com Excl ExtraOrd,4.34,3.47,3.62,3.87,2.16
Income Available to Com Incl ExtraOrd,4.34,3.47,3.62,3.87,2.16
Diluted Net Income,4.34,3.47,3.62,3.87,2.16
Diluted Weighted Average Shares,35.46,35.46,35.46,35.46,35.46
Diluted EPS Excluding ExtraOrd Items,0.12,0.10,0.10,0.11,0.06
DPS - Common Stock Primary Issue,0.02,0.05,0.02,0.02,0
Diluted Normalised EPS,0.12,0.10,0.10,0.11,0.06
