Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,8.68,14.77,16.47,17.93,19.28
"Accounts Receivable - Trade, Net",11.52,9.84,9.29,9.92,11.15
"Total Receivables, Net",11.52,9.84,9.29,9.92,11.21
Prepaid Expenses,0.71,1.01,0.89,0.31,0.20
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,35.93,39.86,41.02,43.82,46.59
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",2.17,2.18,2.00,6.15,5.43
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0,0,0.03,0.02
Long Term Investments,0,0,0,0,0
Total Assets,39.31,42.73,43.34,50.35,52.56
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.40,0.46,0.78,0.98,0.77
Total Current Liabilities,11.29,11.75,11.32,11.03,11.69
Total Long Term Debt,0.01,0.01,0.00,3.57,3.03
Total Debt,1.85,1.83,1.09,4.58,3.76
Deferred Income Tax,0.07,0.07,0.00,0.00,0
"Other Liabilities, Total",0.31,0.72,0.58,0.99,1.41
Total Liabilities,11.68,12.55,11.91,15.58,16.14
"Common Stock, Total",149.64,149.64,149.64,149.64,149.64
Retained Earnings (Accumulated Deficit),-122.01,-119.46,-118.22,-114.88,-113.22
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,27.64,30.19,31.43,34.76,36.42
Total Liabilities & Shareholders' Equity,39.31,42.73,43.34,50.35,52.56
Total Common Shares Outstanding,35.46,35.46,35.46,35.46,35.46
"Tangible Book Value per Share, Common Eq",0.78,0.85,0.89,0.98,1.03
