Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,20.23,18.01,8.16,6.50,10.27
Total Revenue,20.23,18.01,8.16,6.50,10.27
"Selling/General/Admin. Expenses, Total",0.51,0.64,0.27,0.48,0.01
Depreciation/Amortisation,1.07,1.30,1.76,1.76,2.01
Unusual Expense (Income),0.67,-0.35,-0.01,-0.72,-0.37
"Other Operating Expenses, Total",-1.10,5.10,7.16,4.66,2.02
Total Operating Expense,19.23,22.14,20.41,12.34,11.53
Operating Income,1.00,-4.13,-12.25,-5.85,-1.26
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.51,-1.62,-1.83,-1.39
"Other, Net",0,0,0,0,0
Net Income Before Taxes,1.00,-4.64,-13.87,-7.67,-2.65
Provision for Income Taxes,0.37,-0.35,-0.50,0.73,0.13
Net Income After Taxes,0.62,-4.29,-13.37,-8.40,-2.78
Net Income Before Extra. Items,0.62,-4.09,-11.76,-6.79,-2.28
Net Income,0.62,-4.09,-11.76,-6.79,-2.28
Income Available to Com Excl ExtraOrd,0.62,-4.09,-11.76,-6.79,-2.28
Income Available to Com Incl ExtraOrd,0.62,-4.09,-11.76,-6.79,-2.28
Diluted Net Income,0.62,-4.09,-11.76,-6.79,-2.28
Diluted Weighted Average Shares,125.95,125.95,125.95,175.26,667.10
Diluted EPS Excluding ExtraOrd Items,0.00,-0.03,-0.09,-0.04,-0.00
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,0.01,-0.03,-0.09,-0.04,-0.00
