Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,37.61,23.84,25.29,23.37,22.93
Total Revenue,37.61,23.84,25.29,23.37,22.93
"Selling/General/Admin. Expenses, Total",8.11,6.21,6.87,6.47,6.00
Depreciation/Amortisation,0.50,0.56,0.57,0.64,0.68
Unusual Expense (Income),0.01,0.01,-0.06,-0.00,-1.34
"Other Operating Expenses, Total",-0.46,-0.09,-0.12,0.07,1.11
Total Operating Expense,36.95,23.34,26.37,22.72,22.78
Operating Income,0.66,0.51,-1.08,0.66,0.15
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.66,0.51,-1.08,0.66,0.15
Provision for Income Taxes,0.32,0.37,0.15,0.22,0.40
Net Income After Taxes,0.34,0.14,-1.23,0.44,-0.25
Net Income Before Extra. Items,0.30,-0.01,-1.22,0.41,-0.25
Net Income,0.30,-0.01,-1.22,0.41,-0.25
Income Available to Com Excl ExtraOrd,0.30,-0.01,-1.22,0.41,-0.25
Income Available to Com Incl ExtraOrd,0.30,-0.01,-1.22,0.41,-0.25
Diluted Net Income,0.30,-0.01,-1.22,0.41,-0.25
Diluted Weighted Average Shares,214.20,214.20,214.20,214.74,214.20
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,-0.01,0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0.00,0.00,0
Diluted Normalised EPS,0.00,-0.00,-0.01,0.00,-0.01
