Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.56,-3.46,-30.64,0.52,0.37
Depreciation/Depletion,4.59,4.40,5.79,6.82,5.59
Non-Cash Items,2.80,0.71,10.36,0.49,-0.21
Cash Taxes Paid,0.20,0.11,-0.01,-0.00,-0.01
Changes in Working Capital,-7.89,4.95,18.42,-8.43,-1.73
Cash from Operating Activities,1.07,6.59,3.93,-0.60,4.02
Capital Expenditures,-2.73,-1.87,-6.55,-2.29,-3.32
"Other Investing Cash Flow Items, Total",0.23,0.09,0.00,-1.21,0.46
Cash from Investing Activities,-2.50,-1.78,-6.55,-3.50,-2.86
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,3.13,-4.57,2.52,1.52,-0.46
Foreign Exchange Effects,-0.01,0.02,-0.03,-0.01,0.00
Net Change in Cash,1.69,0.25,-0.14,-2.59,0.71
