Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,67.94,59.35,50.08,64.38,49.71
Total Revenue,67.94,59.35,50.08,64.38,49.71
"Selling/General/Admin. Expenses, Total",12.22,9.60,12.95,9.38,8.13
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.03,1.08,3.50,-0.93,3.87
"Other Operating Expenses, Total",-2.54,-2.09,-2.25,-2.20,-3.84
Total Operating Expense,66.38,61.63,79.17,61.79,47.57
Operating Income,1.56,-2.28,-29.09,2.59,2.15
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-1.18,-1.55,-2.07,-1.77
"Other, Net",0,0,0,0,0
Net Income Before Taxes,1.56,-3.46,-30.64,0.52,0.37
Provision for Income Taxes,0.06,-0.18,0.21,-0.38,0.04
Net Income After Taxes,1.50,-3.29,-30.85,0.90,0.33
Net Income Before Extra. Items,1.50,-3.29,-30.85,0.90,0.33
Net Income,1.50,-3.29,-30.85,0.90,0.33
Income Available to Com Excl ExtraOrd,1.50,-3.29,-30.85,0.90,0.33
Income Available to Com Incl ExtraOrd,1.50,-3.29,-30.85,0.90,0.33
Diluted Net Income,1.50,-3.29,-30.85,0.90,0.33
Diluted Weighted Average Shares,52.07,52.07,52.07,52.07,52.07
Diluted EPS Excluding ExtraOrd Items,0.03,-0.06,-0.59,0.02,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.03,-0.05,-0.54,0.01,0.07
