Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-44.29,-34.15,-5.93,-2.98,2.52
Depreciation/Depletion,1.55,1.80,2.05,10.89,10.76
Non-Cash Items,46.17,29.39,3.64,2.30,2.51
Cash Taxes Paid,1.24,-0.10,0.05,0.01,0.01
Changes in Working Capital,0.89,-11.49,-1.61,-3.82,-1.09
Cash from Operating Activities,4.39,-14.46,-1.85,6.40,14.73
Capital Expenditures,-0.35,-2.37,-3.13,-5.29,-0.51
"Other Investing Cash Flow Items, Total",-1.71,-1.08,0.66,-3.54,-0.94
Cash from Investing Activities,-2.06,-3.44,-2.47,-8.83,-1.45
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",4.63,0,0,-0.44,0.00
Cash from Financing Activities,-2.51,55.05,-0.94,-6.49,-10.40
Foreign Exchange Effects,0,0.00,-0.00,-0.00,0.00
Net Change in Cash,-0.18,37.15,-5.25,-8.92,2.88
