Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,96.68,104.81,112.67,114.25,97.43
Total Revenue,96.68,104.81,112.67,114.25,97.43
"Selling/General/Admin. Expenses, Total",108.16,82.81,86.08,76.09,61.09
Depreciation/Amortisation,1.62,1.80,2.06,10.89,10.78
Unusual Expense (Income),6.05,25.00,0.00,0,0
"Other Operating Expenses, Total",4.59,6.78,8.78,7.18,2.92
Total Operating Expense,139.64,136.01,118.22,116.06,93.71
Operating Income,-42.96,-31.20,-5.55,-1.81,3.72
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.33,-2.95,-0.38,-1.17,-1.20
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-44.29,-34.15,-5.93,-2.98,2.52
Provision for Income Taxes,-0.19,0.64,-0.12,-0.04,-0.71
Net Income After Taxes,-44.11,-34.79,-5.81,-2.94,3.23
Net Income Before Extra. Items,-44.11,-34.79,-5.81,-2.94,3.23
Net Income,-44.11,-34.79,-5.81,-2.94,3.23
Income Available to Com Excl ExtraOrd,-44.11,-34.79,-5.81,-2.94,3.23
Income Available to Com Incl ExtraOrd,-44.11,-34.79,-5.81,-2.94,3.23
Diluted Net Income,-44.11,-34.79,-5.81,-2.94,3.23
Diluted Weighted Average Shares,2353.08,3202.41,4528.79,4523.77,4517.43
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.01,-0.00,-0.00,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.01,-0.00,-0.00,0.00
